FEP803,Formulación y Evaluación de Proyectos de Ingeniería,3
FEP823,Formulación y Evaluación de Proyectos II,3
FFC902,Fuentes de Financiamiento del Comercio,2
FIS214,Física I,4
FIS324,Física II,4
FLU513,Mecánica de los Fluidos I,3
FLU623,Mecánica de los Fluidos II,3
FTB102,Fundamentos Teóricos del Buque,2
G01,Técnicas Gerenciales,2
G02,Gerencia Logística,2
G03,Organización y Administración de Empresas,2
G04,Métodos Numéricos,2
GCO902,Gerencia de Control de Calidad y Operac.,2
GCT702,Gestión de Ciencia y Tecnología,2
GDP902,Gerencia de Proyectos,2
GDT502,Seminario de Gestión de Datos,2
GEA713,Gestión Ambiental I,3
GEA823,Gestión Ambiental II,3
GEC202,Geografía Económica,2
GED203,Geometría descriptiva,3
GEO104,Geometría,4
GFI702,Gerencia Financiera,2
GLO902,Gerencia Logística,2
GPU902,Gerencia Pública,2
GRH502,Gestión de Relaciones Humanas,2
GRH902,Gerencia de Recursos Humanos,2
HAR460,Historia de la Arquitectura I,4
HAR560,Historia de la Arquitectura II,4
HAR760,Historia de la Arquitectura III,4
HAR840,Historia de la Arquitectura IV,4
HAR850,Historia de la Arquitectura V,4
HDA460,Historia del Arte I,4
HDA560,Historia del Arte II,4
HDA760,Historia del Arte III,4
HDA840,Historia del Arte IV,4
HDA850,Historia del Arte V,4
HID503,Hidrología,3
HTL460,Hotelería I,4
HTL560,Hotelería II,4
HTL760,Hotelería III,4
HTL840,Hotelería IV,4
HYM140,El Hombre y el Mar,2
HYM302,El Hombre y el Mar,2
IAA102,Introducción a la Administración,2
IAG460,Introducción a la Gastronomía,4
IDO703,Investigación de Operaciones,3
IEN803,Ingeniería Económica,3
IEP670,Iniciación al Ejercicio Profesional,2
IEP702,Iniciación al Ejercicio Profesional,2
IHT150,Introducción a la Hotelería y el Turismo,4
IIA203,Introducción a la Ingeniería Ambiental,3
INF102,Informática Básica,2
INF112,Informática I,2
INF130,Informática I,2
INF222,Informática II,2
INF230,Informática II,2
INF333,Informática III,3
INF412,Informática I,2
INF443,Informática IV,3
INF522,Informática II,2
ING113,Inglés I,3
ING120,Inglés I,2
ING213,Inglés I,3
ING220,Inglés II,2
ING223,Inglés II,3
ING310,Inglés III,3
ING323,Inglés II,3
ING333,Inglés III,3
ING432,Inglés IV,2
ING433,Inglés III,3
ING443,Inglés IV,3
ING510,Inglés V,2
ING543,Inglés IV,3
ING553,Inglés V,3
ING610,Inglés VI,2
ING653,Inglés V,3
ING663,Inglés VI,3
ING710,Inglés VII,2
ING763,Inglés VI,3
